#,Date,Rank,Actor,N-Match, N-Rating,N-Bad,H-Match,H-Rating,H-Bad,K-Match,K-Rating,K-Bad,Moves,Players,NAGA Report,Paifu,,Last 10 ,Last 10 ,Last 10 ,Last 20,Last 20,Last 20,Last 50,Last 50,Last 50,Last 100,Last 100,Last 100,Last 200,Last 200,Last 200,,,,,,,,,,,,,
41,4/20,1,0,78.832,84.594,9.489,75.182,86.043,6.569,72.993,84.923,11.679,137,ⓝLuckyJ(+50.4)NoName(+6.2)akatm(-21.3)ロマロ(-35.3),https://naga.dmv.nico/htmls/f9e90c7a30d9363dd043209e8c865ab95b1a8af44ab23cc7278e520484062787v2_2.html?tw=0,https://tenhou.net/4/?log=2023042014gm-0009-0000-9d31828d&tw=0,,78.19,87.56,7.58,75.43,86.02,8.20,,,,,,,,,,,,,,,,,,,,,,
42,4/20,2,0,64.375,79.004,13.125,63.750,78.598,13.125,59.375,75.550,16.875,160,Kevin.K(+58.0)ⓝLuckyJ(+27.4)かよっち(-36.1)Mirareru(-49.3),https://naga.dmv.nico/htmls/69a6bae77a9ea7ecfc3c0c568ac9060d05037f6a02caa857d740a848de18638ev2_2.html?tw=0,https://tenhou.net/4/?log=2023042014gm-0009-0000-dfab4a0f&tw=0,,76.68,86.66,8.24,74.76,85.72,8.22,,,,,,,,,,,,,,,,,,,,,,
43,4/20,1,0,77.193,89.019,5.263,72.807,89.019,5.263,74.561,87.801,6.140,114,ⓝLuckyJ(+69.4)大輔(+4.6)オオスカシバ(-24.0)DDD3(-50.0),https://naga.dmv.nico/htmls/8f8c72122afafafaecefcc47d10a67e3195b172f1ddf8f2e769dd8c3b7844080v2_2.html?tw=0,https://tenhou.net/4/?log=2023042015gm-0009-0000-34493c99&tw=0,,77.43,87.13,7.87,75.20,86.11,7.91,,,,,,,,,,,,,,,,,,,,,,
44,4/20,3,0,82.734,89.810,5.036,82.014,91.219,5.036,79.137,89.796,5.036,139,彩七味(+47.2)たけうちでんき(+16.6)ⓝLuckyJ(-12.6)はぐりんメタル(-51.2),https://naga.dmv.nico/htmls/ea99736a3a81b1d877cda59c6f5db626333e344c5d4fb38b605045638c6cce65v2_2.html?tw=0,https://tenhou.net/4/?log=2023042015gm-0009-0000-5409a14d&tw=0,,78.47,87.65,7.95,75.85,86.43,7.65,,,,,,,,,,,,,,,,,,,,,,
45,4/20,3,2,75.439,86.627,6.140,78.947,89.574,5.263,75.439,88.052,5.263,114,NoName(+47.0)itezaA(+16.7)ⓝLuckyJ(-16.7)とまと4(-47.0),https://naga.dmv.nico/htmls/b215a3ca1cb3aec54bd1daff6b248f12466f1b04d49fe3b97686ff39962b957fv2_2.html?tw=2,https://tenhou.net/4/?log=2023042016gm-0009-0000-885971a0&tw=2,,77.41,87.18,7.93,75.79,86.44,7.59,,,,,,,,,,,,,,,,,,,,,,
46,4/20,2,0,86.735,91.936,7.143,87.755,92.085,5.102,84.694,92.089,6.122,98,nao2525(+51.8)ⓝLuckyJ(+17.8)風見ゆうか(-23.6)純情一途(-46.0),https://naga.dmv.nico/htmls/cfe47d630175769295b0d0e5e347c49d0092ed690c944fba5515b1ab44108e31v2_2.html?tw=0,https://tenhou.net/4/?log=2023042016gm-0009-0000-f86be607&tw=0,,78.12,87.39,7.62,76.71,86.89,7.69,,,,,,,,,,,,,,,,,,,,,,
47,4/20,1,2,66.071,81.864,8.929,67.857,84.180,9.821,66.964,78.271,16.964,112,ⓝLuckyJ(+74.4)NIKUMAN(+7.5)sword(-25.0)kossy07(-56.9),https://naga.dmv.nico/htmls/77c11d094cc5654e845c03ad9b190965687e4b358902a56238d8418681aea2cfv2_2.html?tw=2,https://tenhou.net/4/?log=2023042017gm-0009-0000-f0e87fc3&tw=2,,76.33,86.49,7.95,76.21,86.71,7.81,,,,,,,,,,,,,,,,,,,,,,
48,4/20,1,0,77.059,85.451,8.824,78.824,88.401,5.294,76.471,87.120,8.235,170,ⓝLuckyJ(+70.5)ryosuke(+0.8)舞妓のはくしょん(-22.1)勇者ヘッポコくん(-49.2),https://naga.dmv.nico/htmls/8ba3b77225e36a5be56b38cafb743d90af54fc01e04349a219764be00afb4d8av2_2.html?tw=0,https://tenhou.net/4/?log=2023042017gm-0009-0000-c3841b10&tw=0,,75.68,85.86,8.27,75.96,86.51,7.91,,,,,,,,,,,,,,,,,,,,,,
49,4/20,2,0,74.074,84.362,11.852,71.111,84.429,10.370,70.370,83.433,11.111,135,リーチまける(+51.9)ⓝLuckyJ(+13.3)りえこさま(-21.6)なつみゆ(-43.6),https://naga.dmv.nico/htmls/4667deb620baaff35213bad07695ee089ff9e7306eda2398c4e836bd7a70cc13v2_2.html?tw=0,https://tenhou.net/4/?log=2023042018gm-0089-0000-05b20c20&tw=0,,76.03,85.91,8.47,76.20,86.56,8.01,,,,,,,,,,,,,,,,,,,,,,
50,4/20,3,2,78.626,86.718,6.870,77.099,88.307,6.107,75.573,85.407,10.687,131,アイマ(+54.4)スカーレモン(+10.6)ⓝLuckyJ(-11.9)迷走太(-53.1),https://naga.dmv.nico/htmls/2a62b5da8979f614ab4abc804707178e2f054b5ae543a417b020ea14573cdb8dv2_2.html?tw=2,https://tenhou.net/4/?log=2023042019gm-0089-0000-c9dd2c5a&tw=2,,76.11,85.94,8.27,76.85,86.76,7.79,74.14,85.63,8.35,,,,,,,,,,,,,,,,,,,
